

istanze/10_rand_dataset

1	0,5987	343,58	404,883	380,932	388,743	330,404	330,404	330,404	0
2	0,6029	305,013	405,717	358,058	859,772	284,322	284,322	284,322	0
3	0,6008	300,692	392,426	362,723	1004,29	297,305	326,455	306,05	178,44
4	0,6083	369,318	422,458	405,487	172,969	330,608	330,608	330,608	0

1	1,3187	368,776	527,204	472,31	2325,81	368,776	386,032	374,895	45,3067
2	1,3602	415,243	514,665	468,476	1206,56	397,501	454,9	411,189	281,801
3	1,3725	415,465	469,532	432,699	274,59	392,092	411,368	401,092	24,8695
4	1,3537	394,641	461,966	431,891	457,497	351,611	381,587	367,779	118,548

1	2,229	527,646	625,398	561,287	1062,43	463,787	476,739	468,911	23,5024
2	2,1942	494,146	626,15	564,763	1598,82	450,463	481,933	464,324	98,4724
3	2,1346	520,856	633,069	572,306	1157,52	498,699	559,886	524,898	346,169
4	2,2144	506,358	583,676	529,327	475,478	466,485	492,525	481,959	93,2049

1	3,2249	629,162	733,835	686,24	1101,63	558,111	628,245	579,956	457,431
2	3,132	596,207	657,598	629,813	341,758	546,095	611,789	577,607	288,448
3	3,2175	611,8	719,517	645,175	857,105	564,773	617,22	586,845	324,088
4	3,2513	601,596	726,157	681,491	1341,47	581,841	621,939	598,235	185,5

1	4,1804	651,64	736,013	688,689	551,179	582,904	635,965	601,741	352,842
2	4,1602	571,859	705,535	655,563	1221,33	568,041	627,59	588,171	290,016
3	4,1789	583,899	697,11	640,271	1251,06	573,129	618,449	591,624	182,311
4	4,2679	574,21	702,631	637,229	2305,93	558,226	623,744	579,271	411,071

1	5,4106	688,678	825,371	740,337	1605,16	642,312	691,017	664,966	163,738
2	5,3838	644,05	780,052	721,744	1513,38	605,06	644,384	623,552	118,147
3	5,4525	657,456	774,234	706,986	1046,21	609,126	684,231	642,984	551,289
4	5,4134	611,539	750,682	700,086	1284,59	598,164	654,699	626,23	354,473

1	6,8111	689,024	782,383	728,207	883,559	657,159	685,928	669,86	116,765
2	6,8165	764,932	814,381	781,917	177,17	684,891	739,186	712,951	302,904
3	6,8536	735,9	844,857	768,37	992,249	689,772	746,911	711,019	191,36
4	6,7948	688,424	789,018	751,594	752,889	677,042	729,789	699,416	262,215

1	8,2966	781,297	911,716	838,992	1401,39	741,39	787,568	764,646	169,197
2	8,3572	755,451	818,113	794,793	393,836	696,175	754,744	717,815	339,375
3	8,1889	807,723	913,374	861,691	1204,74	725,98	777,705	754,479	336,65
4	8,4836	777,004	880,214	809,427	866,709	726,221	780,912	754,184	272,547

1	9,8642	749,681	857,908	810,05	1066,2	728,041	776,595	749,586	229,545
2	10,0392	798,515	969,852	888,218	2442,69	772,366	816,345	796,292	227,743
3	9,9929	862,361	944,794	902,019	859,366	822,167	857,758	842,594	118,144
4	10,0035	841,266	934,373	896,344	907,123	790,794	825,993	803,637	150,677

1	11,6382	830,501	996,615	902,095	1711,46	776,195	836,684	804,076	464,059
2	11,5733	860,799	1000,45	910,682	1566,65	785,286	869,384	817,458	450,042
3	11,541	833,166	955,894	899,273	923,072	781,972	830,652	804,008	298,804
4	11,4799	862,248	1033,08	960,007	2800,87	842,968	895,52	860,064	254,247


istanze_cl/10_cl_dataset

1	0,6291	110,12	180,464	156,352	731,933	105,943	105,943	105,943	0
2	0,6301	222,607	329,865	245,422	1031,61	217,03	221,836	217,708	2,24038
3	0,6224	212,892	354,553	270,881	2087,37	212,892	212,892	212,892	0
4	0,6223	207,14	359,177	262,06	2268,03	201,934	202,673	202,304	0,136535

1	1,3557	240,241	363,84	281,958	2010,38	234,421	239,18	236,862	2,32912
2	1,3514	281,38	416,701	309,548	1492,82	271,206	272,901	271,845	0,315456
3	1,356	178,492	277,843	214,131	1692,37	177,957	181,814	180,052	2,04006
4	1,3603	137,735	195,366	158,715	286,425	128,976	137,665	132	8,82421

1	2,1988	145,863	174,958	165,088	66,4766	145,863	153,18	149,682	4,32188
2	2,2017	185,961	244,678	210,383	217,318	169,219	177,898	174,533	7,23776
3	2,1996	198,798	243,264	218,581	192,451	190,192	211,667	198,051	45,7483
4	2,1927	273,264	403,041	325,442	3326,72	251,035	259,654	253,023	11,188

1	3,241	267,22	334,579	293,615	407,61	256,65	270,603	263,723	24,4876
2	3,2797	192,714	245,943	212,568	400,323	181,552	186,872	184,482	2,35042
3	3,2796	303,092	371,678	331,19	690,39	278,057	289,137	284,24	11,6806
4	3,236	256,548	298,31	276,708	141,97	229,816	244,358	236,971	24,5069

1	4,2395	309,949	401,998	334,807	640,097	287,275	300,872	291,831	16,9
2	4,2207	256,051	326,705	277,243	573,655	244,159	267,971	253,671	54,38
3	4,2167	231,449	295,573	266,636	499,776	219,87	229,462	224,489	7,87801
4	4,2247	237,458	290,781	252,429	201,284	224,943	234,94	228,062	9,20668

1	5,4238	278,529	306,282	292,158	63,9777	271,402	280,228	273,899	5,39282
2	5,435	337,01	425,715	360,286	594,226	322,707	350,779	331,745	91,3935
3	5,4491	307,112	360,385	329,932	406,901	290,126	311,651	298,36	34,7815
4	5,4352	248,108	331,828	283,005	630,423	233,602	250,7	240,715	22,2768

1	6,7982	306,681	389,267	330,438	897,436	290,915	303,275	297,214	12,4051
2	6,8422	227,211	282,057	246,89	334,032	201,453	215,379	209,225	17,0274
3	6,8225	274,447	366,696	296,506	637,328	270,098	276,723	273,856	5,39381
4	6,866	293,707	390,051	321,818	951,036	267,231	287,008	274,617	29,4586

1	8,4078	308,387	377,212	340,177	423,607	296,059	325,974	308,128	63,1491
2	8,4212	344,966	485,214	387,151	2011,92	332,15	343,995	339,455	12,0516
3	8,5286	330,406	435,042	368,198	1398,53	315,371	339,651	325,344	53,916
4	8,5793	323,993	391,929	355,863	535,765	297,951	312,708	306,132	22,7725

1	10,2625	297,814	371,137	335,897	433,033	280,464	295,027	286,337	24,4115
2	10,0974	191,412	214,139	197,854	35,2661	179,252	187,456	183,363	6,30703
3	10,1183	328,536	395,808	366,974	366,525	313,385	323,388	317,85	11,4445
4	10,0703	417,391	598,82	522,589	4832,16	410,736	429,422	417,72	30,0465

1	11,6195	352,279	414,637	380,661	294,483	336,101	351,983	342,089	20,5628
